Country,Year,GDPGrowth,InflationRate,Unemployment,Export,Import,GDPPerCapita,Coup,Population,Military Size,TotalCoup,RateOfPopOnMilitary,RateOfExportToImport,TradeToGDP,MilitaryBudget,ConstitutionalAmendmentChange
Iraq,2018,-0.560,0.370,8.799,98.589,80.609,-559,0,38433599,20900001,12,54,122,6.22,2.73,0
Iraq,2017,-2.490,0.180,8.969,74.399,69.659,-2.491,0,37552780,20900001,12,56,107,1.68,3.84,0
Iraq,2016,15.210,0.560,9.059,56.139,69.809,15.209,0,36610631,20900001,12,57,80,-4.73,3.48,0
Iraq,2015,2.480,1.390,9.119,62.729,73.519,2.479,0,35572260,20900001,12,59,85,-1.53,5.35,0
Iraq,2014,0.700,2.240,9.109,96.999,86.699,699,0,34411950,17760001,12,52,112,2.60,2.95,0
Iraq,2013,7.600,1.880,9.039,93.099,84.499,7.599,0,33157049,80240001,12,242,110,2.14,3.32,0
Iraq,2012,13.940,6.090,9.049,96.899,63.439,13.939,0,31890010,80240001,12,252,153,1.38,1.90,0
Iraq,2011,7.550,5.800,9.069,82.509,51.549,7.549,0,30725299,80240001,12,261,160,-1.33,2.30,0
Iraq,2010,6.400,2.880,9.009,54.599,47.209,6.399,0,29741975,65939501,12,222,116,-5.19,2.71,0
Iraq,2009,3.380,6.870,9.019,43.989,43.869,3.379,0,28973161,57700001,12,199,100,-2.37,2.90,0
Iraq,2008,8.230,12.660,9.029,66.239,40.439,8.229,0,28385745,36200001,12,128,164,6.96,2.37,0
Iraq,2007,1.380,-10.070,9.009,40.779,25.049,1.379,0,27911247,49500001,12,177,163,-15.56,2.24,0
Iraq,2006,10.160,53.230,9.009,33.239,25.159,10.159,0,27448123,22700001,12,83,132,-26.09,1.90,0
Iraq,2005,4.400,36.960,8.979,27.149,30.669,4.399,0,26922283,17900001,12,66,89,-4.49,2.24,1
Iraq,2004,54.160,26.960,8.859,20.609,23.429,54.159,0,26313837,43200001,12,164,88,-34.00,1.68,0
Iraq,2003,-33.100,33.620,8.799,13.849,13.359,-33.101,0,25644498,43200001,12,168,104,34.47,2.74,0
Iraq,2002,-6.900,19.320,8.799,14.419,15.009,-6.901,0,24931918,46700001,12,187,96,-7.02,3.12,0
Iraq,2001,2.310,16.370,8.799,12.309,14.259,2.309,0,24208179,47900001,12,198,86,1.44,3.24,0
Iraq,2000,1.410,4.980,8.799,13.149,14.789,1.409,0,23497584,47900001,12,204,89,-12.98,5.36,0
Iraq,1999,17.580,12.580,8.799,7.779,12.459,17.579,0,22802063,47900001,12,210,62,06.07,2.96,0
Iraq,1998,34.860,14.770,8.799,12.139,14.399,34.859,0,22114323,44290001,12,200,84,26.06,3.33,0
Iraq,1997,21.240,23.060,8.799,12.009,13.879,21.239,0,21439573,43250001,12,202,87,106.16,1.91,0
Iraq,1996,11.020,-16.120,8.799,9.989,13.369,11.019,0,20783072,40730001,12,196,75,0.01,2.30,0
Iraq,1995,2.120,387.310,8.799,11.219,28.299,2.119,1,20149337,42500001,12,211,40,-0.08,2.71,0
Iraq,1994,3.850,448.500,8.799,12.149,23.939,3.849,0,19539339,40700001,11,208,51,-0.45,2.90,0
Iraq,1993,30.290,207.690,8.799,33.909,16.859,30.289,0,18955084,40700001,11,215,201,-1.38,2.37,0
Iraq,1992,32.590,83.620,8.799,23.619,11.779,32.589,1,18402733,47500001,11,258,201,-1.87,2.24,0
Iraq,1991,-64.050,180.950,8.799,13.469,7.519,-64.051,1,17889458,139000001,10,777,179,-11.34,1.91,0
Iraq,1990,57.820,4.610,8.799,11.149,8.099,57.819,0,17419112,100000001,9,574,138,-29.71,1.92,0
Iraq,1989,-3.120,9.170,8.799,10.189,6.379,-3.121,0,16994947,100000001,9,588,160,2.34,2.30,0
Iraq,1988,-0.020,12.820,8.799,7.039,5.729,-19,0,16612321,100000002,9,602,123,-6.85,2.71,0
Iraq,1987,9.310,9.520,8.799,7.029,3.639,9.309,0,16257069,100000003,9,615,193,6.41,2.90,0
Iraq,1986,4.650,7.700,8.799,2.379,1.259,4.649,0,15909761,100000004,9,629,189,-12.02,2.91,0
Iraq,1985,1.450,4.890,8.799,1.519,879,1.449,0,15555799,100000005,9,643,173,-0.37,3.92,0
Iraq,1984,-1.490,5.190,8.799,1.689,889,-1.491,0,15190392,100000006,9,658,190,-2.22,3.21,0
Iraq,1983,-13.070,3.600,8.799,1.229,659,-13.071,0,14815655,100000007,9,675,186,-35.24,2.94,0